Method,X_extrap_first50_mean,X_extrap_first50_se,X_extrap_first50_mean_x1e3,X_extrap_first50_se_x1e3,Theta_L1_mean,Theta_L1_se,mean_corr
GOKU,7.322956085205078,0.2974749505519867,7322.9560546875,297.4749450683594,,,
Zero,8.110344886779785,0.0047897896729409695,8110.3447265625,4.78978967666626,,,
