Model: GOKU - pendulum created with 505764 parameters.
[Epoch 152/1600]  loss = 4.3107
[Epoch 153/1600]  loss = 3.2121
[Epoch 154/1600]  loss = 2.7300
[Epoch 155/1600]  loss = 2.4083
[Epoch 156/1600]  loss = 2.2190
[Epoch 157/1600]  loss = 2.1220
[Epoch 158/1600]  loss = 2.2657
[Epoch 159/1600]  loss = 2.2377
[Epoch 160/1600]  loss = 2.1329
[Epoch 161/1600]  loss = 2.4294
[Epoch 162/1600]  loss = 2.0717
[Epoch 163/1600]  loss = 1.9527
[Epoch 164/1600]  loss = 2.0066
[Epoch 165/1600]  loss = 1.9579
[Epoch 166/1600]  loss = 2.0358
[Epoch 167/1600]  loss = 2.2532
[Epoch 168/1600]  loss = 2.5609
[Epoch 169/1600]  loss = 2.0930
[Epoch 170/1600]  loss = 2.3842
[Epoch 171/1600]  loss = 2.1900
[Epoch 172/1600]  loss = 2.1342
[Epoch 173/1600]  loss = 1.9585
[Epoch 174/1600]  loss = 2.3421
[Epoch 175/1600]  loss = 2.3568
[Epoch 176/1600]  loss = 2.6161
[Epoch 177/1600]  loss = 2.9473
[Epoch 178/1600]  loss = 2.5933
[Epoch 179/1600]  loss = 2.0882
[Epoch 180/1600]  loss = 1.8533
[Epoch 181/1600]  loss = 1.7961
[Epoch 182/1600]  loss = 1.7935
[Epoch 183/1600]  loss = 2.2268
[Epoch 184/1600]  loss = 2.9440
[Epoch 185/1600]  loss = 2.6310
[Epoch 186/1600]  loss = 2.2610
[Epoch 187/1600]  loss = 1.7221
[Epoch 188/1600]  loss = 1.8981
[Epoch 189/1600]  loss = 2.1428
[Epoch 190/1600]  loss = 1.8512
[Epoch 191/1600]  loss = 1.8285
[Epoch 192/1600]  loss = 2.2211
[Epoch 193/1600]  loss = 2.5361
[Epoch 194/1600]  loss = 1.9140
[Epoch 195/1600]  loss = 2.0534
[Epoch 196/1600]  loss = 1.8568
[Epoch 197/1600]  loss = 1.8145
[Epoch 198/1600]  loss = 1.8810
[Epoch 199/1600]  loss = 1.6125
[Epoch 200/1600]  loss = 1.5261
[Epoch 201/1600]  loss = 1.3527
[Epoch 202/1600]  loss = 1.3813
[Epoch 203/1600]  loss = 1.5581
[Epoch 204/1600]  loss = 1.6312
[Epoch 205/1600]  loss = 1.4669
[Epoch 206/1600]  loss = 1.6157
[Epoch 207/1600]  loss = 1.8654
[Epoch 208/1600]  loss = 1.7804
[Epoch 209/1600]  loss = 1.9365
[Epoch 210/1600]  loss = 1.8544
[Epoch 211/1600]  loss = 1.8649
[Epoch 212/1600]  loss = 2.0104
[Epoch 213/1600]  loss = 1.9747
[Epoch 214/1600]  loss = 1.8586
[Epoch 215/1600]  loss = 1.5224
[Epoch 216/1600]  loss = 1.4899
[Epoch 217/1600]  loss = 1.4252
[Epoch 218/1600]  loss = 1.9260
[Epoch 219/1600]  loss = 1.6649
[Epoch 220/1600]  loss = 1.6356
[Epoch 221/1600]  loss = 1.9392
[Epoch 222/1600]  loss = 1.6719
[Epoch 223/1600]  loss = 1.3221
[Epoch 224/1600]  loss = 1.1538
[Epoch 225/1600]  loss = 1.0958
[Epoch 226/1600]  loss = 0.9456
[Epoch 227/1600]  loss = 1.0925
[Epoch 228/1600]  loss = 1.4018
[Epoch 229/1600]  loss = 1.2337
[Epoch 230/1600]  loss = 1.3857
[Epoch 231/1600]  loss = 1.2006
[Epoch 232/1600]  loss = 1.3285
[Epoch 233/1600]  loss = 1.2587
[Epoch 234/1600]  loss = 1.6892
[Epoch 235/1600]  loss = 2.3109
[Epoch 236/1600]  loss = 1.9292
[Epoch 237/1600]  loss = 1.8881
[Epoch 238/1600]  loss = 1.2885
[Epoch 239/1600]  loss = 1.2441
[Epoch 240/1600]  loss = 1.2539
[Epoch 241/1600]  loss = 1.4124
[Epoch 242/1600]  loss = 1.2616
[Epoch 243/1600]  loss = 1.2536
[Epoch 244/1600]  loss = 1.1969
[Epoch 245/1600]  loss = 1.2674
[Epoch 246/1600]  loss = 0.9700
[Epoch 247/1600]  loss = 0.9313
[Epoch 248/1600]  loss = 1.0557
[Epoch 249/1600]  loss = 0.9745
[Epoch 250/1600]  loss = 0.8813
[Epoch 251/1600]  loss = 0.9954
[Epoch 252/1600]  loss = 1.0006
[Epoch 253/1600]  loss = 1.0755
[Epoch 254/1600]  loss = 1.4059
[Epoch 255/1600]  loss = 1.4325
[Epoch 256/1600]  loss = 1.4647
[Epoch 257/1600]  loss = 1.4338
[Epoch 258/1600]  loss = 1.3808
[Epoch 259/1600]  loss = 1.2111
[Epoch 260/1600]  loss = 1.2907
[Epoch 261/1600]  loss = 1.0957
[Epoch 262/1600]  loss = 1.3321
[Epoch 263/1600]  loss = 1.0059
[Epoch 264/1600]  loss = 1.3090
[Epoch 265/1600]  loss = 1.1485
[Epoch 266/1600]  loss = 1.4155
[Epoch 267/1600]  loss = 1.2816
[Epoch 268/1600]  loss = 1.1355
[Epoch 269/1600]  loss = 1.1387
[Epoch 270/1600]  loss = 1.0858
[Epoch 271/1600]  loss = 1.1702
[Epoch 272/1600]  loss = 1.2467
[Epoch 273/1600]  loss = 1.0924
